Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code,COM,TYP_IRIS,MODIF_IRIS,LAB_IRIS,P19_POP
13 avenue CHARLES DE GAULLE,5.0,9500,9500003,43.084,1.877,E10,MIREPOIX,1.463275,091940000,9194,Z,0,5,3102.0
13 avenue CHARLES DE GAULLE,6.0,9500,9500003,43.084,1.877,SP98,MIREPOIX,1.531625,091940000,9194,Z,0,5,3102.0
247 AV CHARLES DE GAULLE,1.0,9500,9500001,43.085,1.876,Gazole,Mirepoix,1.4152340425531915,091940000,9194,Z,0,5,3102.0
247 AV CHARLES DE GAULLE,3.0,9500,9500001,43.085,1.876,E85,Mirepoix,0.7149166666666666,091940000,9194,Z,0,5,3102.0
247 AV CHARLES DE GAULLE,5.0,9500,9500001,43.085,1.876,E10,Mirepoix,1.4556461538461538,091940000,9194,Z,0,5,3102.0
247 AV CHARLES DE GAULLE,6.0,9500,9500001,43.085,1.876,SP98,Mirepoix,1.5341374045801526,091940000,9194,Z,0,5,3102.0
 Avenue Georges Besse,1.0,62520,62520001,50.51152,1.62056,Gazole,LE TOUQUET-PARIS-PLAGE,1.4162727272727271,628260102,62826,H,0,4,2604.3290351581
 Avenue Georges Besse,2.0,62520,62520001,50.51152,1.62056,SP95,LE TOUQUET-PARIS-PLAGE,1.5065,628260102,62826,H,0,4,2604.3290351581
 Avenue Georges Besse,6.0,62520,62520001,50.51152,1.62056,SP98,LE TOUQUET-PARIS-PLAGE,1.536625,628260102,62826,H,0,4,2604.3290351581
AVENUE FRANCOIS GODIN,1.0,62780,62780003,50.4946,1.59569,Gazole,CUCQ,1.3975903614457832,628260102,62826,H,0,4,2604.3290351581
AVENUE FRANCOIS GODIN,3.0,62780,62780003,50.4946,1.59569,E85,CUCQ,0.634,628260102,62826,H,0,4,2604.3290351581
AVENUE FRANCOIS GODIN,5.0,62780,62780003,50.4946,1.59569,E10,CUCQ,1.4341566265060242,628260102,62826,H,0,4,2604.3290351581
AVENUE FRANCOIS GODIN,6.0,62780,62780003,50.4946,1.59569,SP98,CUCQ,1.5082244897959185,628260102,62826,H,0,4,2604.3290351581
 Avenue Georges Clemenceau,1.0,63600,63600003,45.55219,3.73976,Gazole,AMBERT,1.5547058823529412,630030101,63003,H,0,4,3125.05760308937
 Avenue Georges Clemenceau,5.0,63600,63600003,45.55219,3.73976,E10,AMBERT,1.5959615384615389,630030101,63003,H,0,4,3125.05760308937
 Avenue Georges Clemenceau,6.0,63600,63600003,45.55219,3.73976,SP98,AMBERT,1.6665384615384615,630030101,63003,H,0,4,3125.05760308937
 Avenue Georges Clemenceau,1.0,76190,76190005,49.62113,0.76692,Gazole,YVETOT,1.454,767580103,76758,H,0,1,2419.25837423208
 Avenue Georges Clemenceau,2.0,76190,76190005,49.62113,0.76692,SP95,YVETOT,1.5535,767580103,76758,H,0,1,2419.25837423208
 Avenue Georges Clemenceau,6.0,76190,76190005,49.62113,0.76692,SP98,YVETOT,1.5778,767580103,76758,H,0,1,2419.25837423208
Rue Jean Moulin,1.0,76190,76191001,49.61246,0.77484,Gazole,YVETOT,1.374276595744681,767580103,76758,H,0,1,2419.25837423208
Rue Jean Moulin,2.0,76190,76191001,49.61246,0.77484,SP95,YVETOT,1.4577173913043475,767580103,76758,H,0,1,2419.25837423208
Rue Jean Moulin,4.0,76190,76191001,49.61246,0.77484,GPLc,YVETOT,0.8550869565217392,767580103,76758,H,0,1,2419.25837423208
Rue Jean Moulin,5.0,76190,76191001,49.61246,0.77484,E10,YVETOT,1.404840425531915,767580103,76758,H,0,1,2419.25837423208
Rue Jean Moulin,6.0,76190,76191001,49.61246,0.77484,SP98,YVETOT,1.4905263157894737,767580103,76758,H,0,1,2419.25837423208
 Avenue Georges Guynemer,1.0,62100,62101001,50.95025,1.89293,Gazole,CALAIS,1.415197580645161,621930701,62193,H,0,1,2129.63104830458
 Avenue Georges Guynemer,2.0,62100,62101001,50.95025,1.89293,SP95,CALAIS,1.5083629032258064,621930701,62193,H,0,1,2129.63104830458
 Avenue Georges Guynemer,6.0,62100,62101001,50.95025,1.89293,SP98,CALAIS,1.5272983870967742,621930701,62193,H,0,1,2129.63104830458
 Avenue Gutenberg,1.0,78310,78318001,48.76132,1.91611,Gazole,MAUREPAS,1.4416338028169011,783830109,78383,A,0,3,68.062204288672
 Avenue Gutenberg,4.0,78310,78318001,48.76132,1.91611,GPLc,MAUREPAS,0.799,783830109,78383,A,0,3,68.062204288672
 Avenue Gutenberg,5.0,78310,78318001,48.76132,1.91611,E10,MAUREPAS,1.46004,783830109,78383,A,0,3,68.062204288672
 Avenue Gutenberg,6.0,78310,78318001,48.76132,1.91611,SP98,MAUREPAS,1.5473815789473684,783830109,78383,A,0,3,68.062204288672
 Avenue Henri Mory,1.0,62830,62830001,50.64024,1.74435,Gazole,SAMER,1.4422857142857142,627730000,62773,Z,0,5,4666.0
 Avenue Henri Mory,5.0,62830,62830001,50.64024,1.74435,E10,SAMER,1.4855,627730000,62773,Z,0,5,4666.0
 Avenue Henri Mory,6.0,62830,62830001,50.64024,1.74435,SP98,SAMER,1.5555,627730000,62773,Z,0,5,4666.0
route de Desvres,1.0,62830,62830002,50.6390729,1.7593185,Gazole,Samer,1.392032258064516,627730000,62773,Z,0,5,4666.0
route de Desvres,2.0,62830,62830002,50.6390729,1.7593185,SP95,Samer,1.4809876543209877,627730000,62773,Z,0,5,4666.0
