Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code,DISP_TP6019,DISP_Q119,DISP_MED19
 Avenue Charles de Gaulle,1.0,29470,29470004,48.37935,-4.37494,Gazole,PLOUGASTEL-DAOULAS,1.420435294117647,291890106,,18060,22990
 Avenue Charles de Gaulle,2.0,29470,29470004,48.37935,-4.37494,SP95,PLOUGASTEL-DAOULAS,1.5086708860759492,291890106,,18060,22990
 Avenue Charles de Gaulle,5.0,29470,29470004,48.37935,-4.37494,E10,PLOUGASTEL-DAOULAS,1.4626756756756756,291890106,,18060,22990
 Avenue Charles de Gaulle,6.0,29470,29470004,48.37935,-4.37494,SP98,PLOUGASTEL-DAOULAS,1.543260273972603,291890106,,18060,22990
 Avenue Georges Clemenceau,1.0,76190,76190005,49.62113,0.76692,Gazole,YVETOT,1.454,767580103,16.5,15290,19470
 Avenue Georges Clemenceau,2.0,76190,76190005,49.62113,0.76692,SP95,YVETOT,1.5535,767580103,16.5,15290,19470
 Avenue Georges Clemenceau,6.0,76190,76190005,49.62113,0.76692,SP98,YVETOT,1.5778,767580103,16.5,15290,19470
Rue Jean Moulin,1.0,76190,76191001,49.61246,0.77484,Gazole,YVETOT,1.374276595744681,767580103,16.5,15290,19470
Rue Jean Moulin,2.0,76190,76191001,49.61246,0.77484,SP95,YVETOT,1.4577173913043475,767580103,16.5,15290,19470
Rue Jean Moulin,4.0,76190,76191001,49.61246,0.77484,GPLc,YVETOT,0.8550869565217392,767580103,16.5,15290,19470
Rue Jean Moulin,5.0,76190,76191001,49.61246,0.77484,E10,YVETOT,1.404840425531915,767580103,16.5,15290,19470
Rue Jean Moulin,6.0,76190,76191001,49.61246,0.77484,SP98,YVETOT,1.4905263157894737,767580103,16.5,15290,19470
 Avenue Georges Guynemer,1.0,62100,62101001,50.95025,1.89293,Gazole,CALAIS,1.415197580645161,621930701,52.9,10000,12690
 Avenue Georges Guynemer,2.0,62100,62101001,50.95025,1.89293,SP95,CALAIS,1.5083629032258064,621930701,52.9,10000,12690
 Avenue Georges Guynemer,6.0,62100,62101001,50.95025,1.89293,SP98,CALAIS,1.5272983870967742,621930701,52.9,10000,12690
 Avenue Louis Sallenave,1.0,64000,64000009,43.32001,-0.36039,Gazole,PAU,1.4061309523809522,644450204,23.1,13520,18560
 Avenue Louis Sallenave,2.0,64000,64000009,43.32001,-0.36039,SP95,PAU,1.5057432432432434,644450204,23.1,13520,18560
 Avenue Louis Sallenave,5.0,64000,64000009,43.32001,-0.36039,E10,PAU,1.459679012345679,644450204,23.1,13520,18560
 Avenue Louis Sallenave,6.0,64000,64000009,43.32001,-0.36039,SP98,PAU,1.5421298701298702,644450204,23.1,13520,18560
305/309 BD DE LA PAIX,1.0,64000,64000015,43.32251327,-0.367980462579,Gazole,PAU,1.5220335195530728,644450204,23.1,13520,18560
305/309 BD DE LA PAIX,5.0,64000,64000015,43.32251327,-0.367980462579,E10,PAU,1.5650810055865922,644450204,23.1,13520,18560
305/309 BD DE LA PAIX,6.0,64000,64000015,43.32251327,-0.367980462579,SP98,PAU,1.6750810055865923,644450204,23.1,13520,18560
 Avenue de Brédasque,1.0,13090,13097001,43.53556,5.4134,Gazole,AIX-EN-PROVENCE,1.399925287356322,130010709,8.3,19550,26120
 Avenue de Brédasque,4.0,13090,13097001,43.53556,5.4134,GPLc,AIX-EN-PROVENCE,0.8027866666666666,130010709,8.3,19550,26120
 Avenue de Brédasque,5.0,13090,13097001,43.53556,5.4134,E10,AIX-EN-PROVENCE,1.4296263157894735,130010709,8.3,19550,26120
 Avenue de Brédasque,6.0,13090,13097001,43.53556,5.4134,SP98,AIX-EN-PROVENCE,1.5043715846994534,130010709,8.3,19550,26120
 Avenue de Conthe,1.0,15000,15000012,44.91394,2.42741,Gazole,AURILLAC,1.5079166666666668,150140113,11.2,17120,21420
 Avenue de Conthe,2.0,15000,15000012,44.91394,2.42741,SP95,AURILLAC,1.5910526315789473,150140113,11.2,17120,21420
 Avenue de Conthe,3.0,15000,15000012,44.91394,2.42741,E85,AURILLAC,0.65,150140113,11.2,17120,21420
 Avenue de Conthe,4.0,15000,15000012,44.91394,2.42741,GPLc,AURILLAC,0.85,150140113,11.2,17120,21420
 Avenue de Conthe,6.0,15000,15000012,44.91394,2.42741,SP98,AURILLAC,1.648,150140113,11.2,17120,21420
87 Avenue Charles de Gaulle,1.0,15000,15004001,44.9091521744,2.42441831845,Gazole,AURILLAC,1.4074444444444445,150140113,11.2,17120,21420
87 Avenue Charles de Gaulle,4.0,15000,15004001,44.9091521744,2.42441831845,GPLc,AURILLAC,0.9641428571428572,150140113,11.2,17120,21420
87 Avenue Charles de Gaulle,5.0,15000,15004001,44.9091521744,2.42441831845,E10,AURILLAC,1.4488800000000002,150140113,11.2,17120,21420
87 Avenue Charles de Gaulle,6.0,15000,15004001,44.9091521744,2.42441831845,SP98,AURILLAC,1.5368695652173912,150140113,11.2,17120,21420
ROUTE DE SANSAC,1.0,15000,15000016,44.907979000000005,2.421297,Gazole,AURILLAC,1.4207094017094015,150140113,11.2,17120,21420
ROUTE DE SANSAC,5.0,15000,15000016,44.907979000000005,2.421297,E10,AURILLAC,1.4521392045454544,150140113,11.2,17120,21420
ROUTE DE SANSAC,6.0,15000,15000016,44.907979000000005,2.421297,SP98,AURILLAC,1.5565882352941176,150140113,11.2,17120,21420
 Avenue de Domont,1.0,95160,95160003,49.00536,2.31694,Gazole,MONTMORENCY,1.433085714285714,954280303,15.5,16080,22710
 Avenue de Domont,5.0,95160,95160003,49.00536,2.31694,E10,MONTMORENCY,1.4537352941176471,954280303,15.5,16080,22710
 Avenue de Domont,6.0,95160,95160003,49.00536,2.31694,SP98,MONTMORENCY,1.5221323529411763,954280303,15.5,16080,22710
 Avenue de Fontainebleau,1.0,94270,94270005,48.81193,2.3618,Gazole,LE KREMLIN-BICêTRE,1.4764430379746836,940430101,18.9,15130,22640
 Avenue de Fontainebleau,5.0,94270,94270005,48.81193,2.3618,E10,LE KREMLIN-BICêTRE,1.5045833333333332,940430101,18.9,15130,22640
 Avenue de Fontainebleau,6.0,94270,94270005,48.81193,2.3618,SP98,LE KREMLIN-BICêTRE,1.595592356687898,940430101,18.9,15130,22640
 Avenue de Provence,1.0,5000,5000010,44.53367,6.04957,Gazole,GAP,1.4437220543806648,050610116,10.2,16940,21510
 Avenue de Provence,5.0,5000,5000010,44.53367,6.04957,E10,GAP,1.4714833836858006,050610116,10.2,16940,21510
 Avenue de Provence,6.0,5000,5000010,44.53367,6.04957,SP98,GAP,1.5551132930513596,050610116,10.2,16940,21510
46 AV. DE PROVENCE,1.0,5000,5000017,44.54104,6.05755,Gazole,GAP,1.5148529411764704,050610116,10.2,16940,21510
46 AV. DE PROVENCE,4.0,5000,5000017,44.54104,6.05755,GPLc,GAP,0.9204042553191488,050610116,10.2,16940,21510
46 AV. DE PROVENCE,5.0,5000,5000017,44.54104,6.05755,E10,GAP,1.5648365758754863,050610116,10.2,16940,21510
46 AV. DE PROVENCE,6.0,5000,5000017,44.54104,6.05755,SP98,GAP,1.6743,050610116,10.2,16940,21510
