Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code,DISP_TP6020,DISP_Q120,DISP_MED20
ROUTE DE SANSAC,1.0,15000,15000016,44.908,2.421,Gazole,AURILLAC,1.7966026490066225,150140113,"11,7",17100,22310
ROUTE DE SANSAC,5.0,15000,15000016,44.908,2.421,E10,AURILLAC,1.8558571428571424,150140113,"11,7",17100,22310
ROUTE DE SANSAC,6.0,15000,15000016,44.908,2.421,SP98,AURILLAC,1.9576511627906976,150140113,"11,7",17100,22310
 Avenue de Fontainebleau,1.0,94270,94270005,48.81193,2.3618,Gazole,LE KREMLIN-BICêTRE,1.8391407407407407,940430101,"19,2",15010,22220
 Avenue de Fontainebleau,5.0,94270,94270005,48.81193,2.3618,E10,LE KREMLIN-BICêTRE,1.8835076923076923,940430101,"19,2",15010,22220
 Avenue de Fontainebleau,6.0,94270,94270005,48.81193,2.3618,SP98,LE KREMLIN-BICêTRE,1.9726578947368425,940430101,"19,2",15010,22220
 Avenue de Limoges,1.0,87270,87270002,45.85841,1.24292,Gazole,COUZEIX,1.8144025157232704,870500103,"8,9",18500,24190
 Avenue de Limoges,5.0,87270,87270002,45.85841,1.24292,E10,COUZEIX,1.875566037735849,870500103,"8,9",18500,24190
 Avenue de Limoges,6.0,87270,87270002,45.85841,1.24292,SP98,COUZEIX,1.9627151515151515,870500103,"8,9",18500,24190
Avenue de Limoges,1.0,87270,87270004,45.865,1.238,Gazole,COUZEIX,1.821064516129032,870500103,"8,9",18500,24190
Avenue de Limoges,5.0,87270,87270004,45.865,1.238,E10,COUZEIX,1.9022653061224488,870500103,"8,9",18500,24190
Avenue de Limoges,6.0,87270,87270004,45.865,1.238,SP98,COUZEIX,2.0038979591836736,870500103,"8,9",18500,24190
 Avenue de la Libération,1.0,74800,74800001,46.06989,6.30528,Gazole,LA ROCHE-SUR-FORON,1.966288888888889,742240102,"12,5",16980,23350
 Avenue de la Libération,2.0,74800,74800001,46.06989,6.30528,SP95,LA ROCHE-SUR-FORON,2.0398636363636364,742240102,"12,5",16980,23350
 Avenue des Tilleuls,1.0,1170,1170005,46.33522,6.058,Gazole,GEX,1.8394827586206897,011730101,"13,8",18390,28870
 Avenue des Tilleuls,5.0,1170,1170005,46.33522,6.058,E10,GEX,1.9331034482758624,011730101,"13,8",18390,28870
 Avenue des Tilleuls,6.0,1170,1170005,46.33522,6.058,SP98,GEX,1.994423076923077,011730101,"13,8",18390,28870
 Avenue du Général de Gaulle,1.0,30130,30130003,44.24715,4.64431,Gazole,PONT-SAINT-ESPRIT,1.7932933333333332,302020103,"15,7",15950,21780
 Avenue du Général de Gaulle,3.0,30130,30130003,44.24715,4.64431,E85,PONT-SAINT-ESPRIT,1.1037555555555554,302020103,"15,7",15950,21780
 Avenue du Général de Gaulle,5.0,30130,30130003,44.24715,4.64431,E10,PONT-SAINT-ESPRIT,1.862,302020103,"15,7",15950,21780
 Avenue du Général de Gaulle,6.0,30130,30130003,44.24715,4.64431,SP98,PONT-SAINT-ESPRIT,1.9245106382978725,302020103,"15,7",15950,21780
 Boulevard Auguste Comte,1.0,24100,24100007,44.84832,0.49248,Gazole,BERGERAC,1.8060714285714283,240370101,"17,5",15280,20820
 Boulevard Auguste Comte,2.0,24100,24100007,44.84832,0.49248,SP95,BERGERAC,1.9126666666666663,240370101,"17,5",15280,20820
