Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur
 Allée de la Communauté,1.0,79260,79260004,4635519.0,-31186.0,Gazole,LA CRèCHE,1.4314
 Allée de la Communauté,2.0,79260,79260004,4635519.0,-31186.0,SP95,LA CRèCHE,1.5146
 Allée de la Communauté,6.0,79260,79260004,4635519.0,-31186.0,SP98,LA CRèCHE,1.5009230769230768
 Autoroute de Normandie,1.0,14730,14730002,4916711.0,-28803.0,Gazole,GIBERVILLE,1.591247191011236
 Autoroute de Normandie,4.0,14730,14730002,4916711.0,-28803.0,GPLc,GIBERVILLE,1.0286666666666668
 Autoroute de Normandie,5.0,14730,14730002,4916711.0,-28803.0,E10,GIBERVILLE,1.6351827956989249
 Autoroute de Normandie,6.0,14730,14730002,4916711.0,-28803.0,SP98,GIBERVILLE,1.7451827956989248
 Avenue Alfred Court,1.0,47800,47800003,4459548.0,35238.0,Gazole,MIRAMONT-DE-GUYENNE,1.4264242424242426
 Avenue Alfred Court,2.0,47800,47800003,4459548.0,35238.0,SP95,MIRAMONT-DE-GUYENNE,1.5121470588235295
 Avenue Alfred Court,5.0,47800,47800003,4459548.0,35238.0,E10,MIRAMONT-DE-GUYENNE,1.377
 Avenue Alfred Court,6.0,47800,47800003,4459548.0,35238.0,SP98,MIRAMONT-DE-GUYENNE,1.54095
 Avenue Charles de Gaulle,1.0,29470,29470004,4837935.0,-437494.0,Gazole,PLOUGASTEL-DAOULAS,1.420435294117647
 Avenue Charles de Gaulle,2.0,29470,29470004,4837935.0,-437494.0,SP95,PLOUGASTEL-DAOULAS,1.5086708860759492
 Avenue Charles de Gaulle,5.0,29470,29470004,4837935.0,-437494.0,E10,PLOUGASTEL-DAOULAS,1.4626756756756756
 Avenue Charles de Gaulle,6.0,29470,29470004,4837935.0,-437494.0,SP98,PLOUGASTEL-DAOULAS,1.543260273972603
 Avenue Clément Pineau,1.0,79500,79500002,4622731.31865,-12715.4599946,Gazole,SAINT-LéGER-DE-LA-MARTINIèRE,1.4047608695652174
 Avenue Clément Pineau,5.0,79500,79500002,4622731.31865,-12715.4599946,E10,SAINT-LéGER-DE-LA-MARTINIèRE,1.4624791666666668
 Avenue Clément Pineau,6.0,79500,79500002,4622731.31865,-12715.4599946,SP98,SAINT-LéGER-DE-LA-MARTINIèRE,1.5424301075268818
 Avenue Gabriel Faure,1.0,09500,9500002,4308856.0,186719.0,Gazole,MIREPOIX,1.4777272727272728
 Avenue Gabriel Faure,2.0,09500,9500002,4308856.0,186719.0,SP95,MIREPOIX,1.576470588235294
 Avenue Gabriel Faure,6.0,09500,9500002,4308856.0,186719.0,SP98,MIREPOIX,1.6065
 Avenue Georges Besse,1.0,62520,62520001,5051152.0,162056.0,Gazole,LE TOUQUET-PARIS-PLAGE,1.4162727272727273
 Avenue Georges Besse,2.0,62520,62520001,5051152.0,162056.0,SP95,LE TOUQUET-PARIS-PLAGE,1.5065
 Avenue Georges Besse,6.0,62520,62520001,5051152.0,162056.0,SP98,LE TOUQUET-PARIS-PLAGE,1.536625
 Avenue Georges Clemenceau,1.0,63600,63600003,4555219.0,373976.0,Gazole,AMBERT,1.5547058823529412
 Avenue Georges Clemenceau,1.0,76190,76190005,4962113.0,76692.0,Gazole,YVETOT,1.454
 Avenue Georges Clemenceau,2.0,76190,76190005,4962113.0,76692.0,SP95,YVETOT,1.5535
 Avenue Georges Clemenceau,5.0,63600,63600003,4555219.0,373976.0,E10,AMBERT,1.5959615384615387
 Avenue Georges Clemenceau,6.0,63600,63600003,4555219.0,373976.0,SP98,AMBERT,1.6665384615384615
 Avenue Georges Clemenceau,6.0,76190,76190005,4962113.0,76692.0,SP98,YVETOT,1.5777999999999999
 Avenue Georges Guynemer,1.0,62100,62101001,5095025.0,189293.0,Gazole,CALAIS,1.4151975806451613
 Avenue Georges Guynemer,2.0,62100,62101001,5095025.0,189293.0,SP95,CALAIS,1.5083629032258064
 Avenue Georges Guynemer,6.0,62100,62101001,5095025.0,189293.0,SP98,CALAIS,1.5272983870967742
 Avenue Gutenberg,1.0,78310,78318001,4876132.0,191611.0,Gazole,MAUREPAS,1.4416338028169013
 Avenue Gutenberg,4.0,78310,78318001,4876132.0,191611.0,GPLc,MAUREPAS,0.799
 Avenue Gutenberg,5.0,78310,78318001,4876132.0,191611.0,E10,MAUREPAS,1.46004
 Avenue Gutenberg,6.0,78310,78318001,4876132.0,191611.0,SP98,MAUREPAS,1.5473815789473684
 Avenue Henri Mory,1.0,62830,62830001,5064024.0,174435.0,Gazole,SAMER,1.4422857142857142
 Avenue Henri Mory,5.0,62830,62830001,5064024.0,174435.0,E10,SAMER,1.4855
 Avenue Henri Mory,6.0,62830,62830001,5064024.0,174435.0,SP98,SAMER,1.5555
 Avenue James de Rothschild,1.0,77164,77164001,4882682.0,270427.0,Gazole,FERRIèRES-EN-BRIE,1.4567941176470587
 Avenue James de Rothschild,5.0,77164,77164001,4882682.0,270427.0,E10,FERRIèRES-EN-BRIE,1.487780303030303
 Avenue James de Rothschild,6.0,77164,77164001,4882682.0,270427.0,SP98,FERRIèRES-EN-BRIE,1.5552919708029196
 Avenue Jean Falconnier,1.0,01350,1350001,4584775.0,578468.0,Gazole,CULOZ,1.44025
 Avenue Jean Falconnier,2.0,01350,1350001,4584775.0,578468.0,SP95,CULOZ,1.5131666666666668
 Avenue Jean Falconnier,6.0,01350,1350001,4584775.0,578468.0,SP98,CULOZ,1.5602631578947368
 Avenue Jean Moulin,1.0,87400,87400003,4583253.0,149798.0,Gazole,SAINT-LéONARD-DE-NOBLAT,1.45004
 Avenue Jean Moulin,2.0,87400,87400003,4583253.0,149798.0,SP95,SAINT-LéONARD-DE-NOBLAT,1.5554583333333332
 Avenue Jean Moulin,5.0,87400,87400003,4583253.0,149798.0,E10,SAINT-LéONARD-DE-NOBLAT,1.5295263157894738
 Avenue Jean Moulin,6.0,87400,87400003,4583253.0,149798.0,SP98,SAINT-LéONARD-DE-NOBLAT,1.6005428571428573
 Avenue Louis Sallenave,1.0,64000,64000009,4332001.0,-36039.0,Gazole,PAU,1.4061309523809522
 Avenue Louis Sallenave,2.0,64000,64000009,4332001.0,-36039.0,SP95,PAU,1.5057432432432434
 Avenue Louis Sallenave,5.0,64000,64000009,4332001.0,-36039.0,E10,PAU,1.459679012345679
 Avenue Louis Sallenave,6.0,64000,64000009,4332001.0,-36039.0,SP98,PAU,1.5421298701298702
 Avenue Marie Curie,1.0,12150,12150004,4432524.0,306544.0,Gazole,SéVéRAC-LE-CHâTEAU,1.4289384615384615
 Avenue Marie Curie,5.0,12150,12150004,4432524.0,306544.0,E10,SéVéRAC-LE-CHâTEAU,1.4660363636363636
 Avenue Marie Curie,6.0,12150,12150004,4432524.0,306544.0,SP98,SéVéRAC-LE-CHâTEAU,1.5298222222222224
 Avenue Maréchal de Lattre de Tassigny,1.0,88500,88500004,4829234.0,613127.0,Gazole,MIRECOURT,1.5014117647058824
 Avenue Maréchal de Lattre de Tassigny,5.0,88500,88500004,4829234.0,613127.0,E10,MIRECOURT,1.5360470588235293
 Avenue Maréchal de Lattre de Tassigny,6.0,88500,88500004,4829234.0,613127.0,SP98,MIRECOURT,1.646
 Avenue de Bagnac,1.0,15600,15600001,4470650.0,219514.0,Gazole,MAURS,1.5266470588235295
 Avenue de Bagnac,4.0,15600,15600001,4470650.0,219514.0,GPLc,MAURS,0.9557333333333333
 Avenue de Bagnac,5.0,15600,15600001,4470650.0,219514.0,E10,MAURS,1.544375
 Avenue de Bagnac,6.0,15600,15600001,4470650.0,219514.0,SP98,MAURS,1.64925
 Avenue de Bordeaux,1.0,33680,33680005,4497648.0,-106512.0,Gazole,LACANAU,1.4200350877192982
 Avenue de Bordeaux,2.0,33680,33680005,4497648.0,-106512.0,SP95,LACANAU,1.4834054054054053
 Avenue de Bordeaux,3.0,33680,33680005,4497648.0,-106512.0,E85,LACANAU,0.6426363636363637
 Avenue de Bordeaux,4.0,33680,33680005,4497648.0,-106512.0,GPLc,LACANAU,0.79
 Avenue de Bordeaux,5.0,33680,33680005,4497648.0,-106512.0,E10,LACANAU,1.4563492063492063
 Avenue de Brédasque,1.0,13090,13097001,4353556.0,541340.0,Gazole,AIX-EN-PROVENCE,1.399925287356322
 Avenue de Brédasque,4.0,13090,13097001,4353556.0,541340.0,GPLc,AIX-EN-PROVENCE,0.8027866666666666
 Avenue de Brédasque,5.0,13090,13097001,4353556.0,541340.0,E10,AIX-EN-PROVENCE,1.4296263157894737
 Avenue de Brédasque,6.0,13090,13097001,4353556.0,541340.0,SP98,AIX-EN-PROVENCE,1.5043715846994534
 Avenue de Conthe,1.0,15000,15000012,4491394.0,242741.0,Gazole,AURILLAC,1.5079166666666668
 Avenue de Conthe,2.0,15000,15000012,4491394.0,242741.0,SP95,AURILLAC,1.5910526315789473
 Avenue de Conthe,3.0,15000,15000012,4491394.0,242741.0,E85,AURILLAC,0.65
 Avenue de Conthe,4.0,15000,15000012,4491394.0,242741.0,GPLc,AURILLAC,0.85
 Avenue de Conthe,6.0,15000,15000012,4491394.0,242741.0,SP98,AURILLAC,1.648
 Avenue de Domont,1.0,95160,95160003,4900536.0,231694.0,Gazole,MONTMORENCY,1.433085714285714
 Avenue de Domont,5.0,95160,95160003,4900536.0,231694.0,E10,MONTMORENCY,1.4537352941176471
 Avenue de Domont,6.0,95160,95160003,4900536.0,231694.0,SP98,MONTMORENCY,1.5221323529411765
 Avenue de Fontainebleau,1.0,94270,94270005,4881193.0,236180.0,Gazole,LE KREMLIN-BICêTRE,1.4764430379746836
 Avenue de Fontainebleau,5.0,94270,94270005,4881193.0,236180.0,E10,LE KREMLIN-BICêTRE,1.5045833333333332
 Avenue de Fontainebleau,6.0,94270,94270005,4881193.0,236180.0,SP98,LE KREMLIN-BICêTRE,1.595592356687898
 Avenue de Limoges,1.0,87270,87270002,4585841.0,124292.0,Gazole,COUZEIX,1.4304054054054054
 Avenue de Limoges,2.0,87270,87270002,4585841.0,124292.0,SP95,COUZEIX,1.0
 Avenue de Limoges,5.0,87270,87270002,4585841.0,124292.0,E10,COUZEIX,1.4864933333333334
 Avenue de Limoges,6.0,87270,87270002,4585841.0,124292.0,SP98,COUZEIX,1.5668692810457516
 Avenue de Monpazier,1.0,24440,24440001,4475917.0,77159.0,Gazole,BEAUMONT-DU-PéRIGORD,1.4259571428571427
 Avenue de Monpazier,2.0,24440,24440001,4475917.0,77159.0,SP95,BEAUMONT-DU-PéRIGORD,1.5063387096774192
 Avenue de Monpazier,6.0,24440,24440001,4475917.0,77159.0,SP98,BEAUMONT-DU-PéRIGORD,1.5353454545454546
 Avenue de Normandie,1.0,35420,35420001,4848963.0,-111317.0,Gazole,LOUVIGNé-DU-DéSERT,1.4082580645161291
 Avenue de Normandie,2.0,35420,35420001,4848963.0,-111317.0,SP95,LOUVIGNé-DU-DéSERT,1.5067142857142857
 Avenue de Normandie,6.0,35420,35420001,4848963.0,-111317.0,SP98,LOUVIGNé-DU-DéSERT,1.5637916666666667
 Avenue de Paris,1.0,89470,89470001,4784863.0,356359.0,Gazole,MONéTEAU,1.4255375
 Avenue de Paris,4.0,89470,89470001,4784863.0,356359.0,GPLc,MONéTEAU,0.785
 Avenue de Paris,5.0,89470,89470001,4784863.0,356359.0,E10,MONéTEAU,1.4811190476190477
 Avenue de Paris,6.0,89470,89470001,4784863.0,356359.0,SP98,MONéTEAU,1.5647567567567566
 Avenue de Provence,1.0,05000,5000010,4453367.0,604957.0,Gazole,GAP,1.4437220543806648
 Avenue de Provence,5.0,05000,5000010,4453367.0,604957.0,E10,GAP,1.4714833836858006
 Avenue de Provence,6.0,05000,5000010,4453367.0,604957.0,SP98,GAP,1.5551132930513596
 Avenue de Saint-Martin,1.0,82150,82150001,4433699.0,101876.0,Gazole,Montaigu-de-Quercy,1.446
 Avenue de Saint-Martin,2.0,82150,82150001,4433699.0,101876.0,SP95,Montaigu-de-Quercy,1.5058333333333334
 Avenue de Saint-Martin,6.0,82150,82150001,4433699.0,101876.0,SP98,Montaigu-de-Quercy,1.5438333333333332
 Avenue de Saint-Pons,1.0,11120,11120001,4325362.0,291366.0,Gazole,Saint-Marcel-sur-Aude,1.4368474576271186
 Avenue de Saint-Pons,2.0,11120,11120001,4325362.0,291366.0,SP95,Saint-Marcel-sur-Aude,1.5190204081632652
 Avenue de Saint-Pons,5.0,11120,11120001,4325362.0,291366.0,E10,Saint-Marcel-sur-Aude,1.4721967213114753
 Avenue de Saint-Pons,6.0,11120,11120001,4325362.0,291366.0,SP98,Saint-Marcel-sur-Aude,1.5480576923076923
 Avenue de Toulouse,1.0,31460,31460002,4353343.0,175158.0,Gazole,CARAMAN,1.4806097560975608
 Avenue de Toulouse,2.0,31460,31460002,4353343.0,175158.0,SP95,CARAMAN,1.5302380952380952
 Avenue de Verdun,1.0,70500,70500001,4782741.0,590571.0,Gazole,JUSSEY,1.4457777777777778
 Avenue de Verdun,1.0,85470,85470002,4662588.0,-185856.0,Gazole,BRETIGNOLLES-SUR-MER,1.3930307692307693
