ID,Latitude,Longitude,CodePostal,Adresse,Ville,PrixNom,PrixID,PrixValeur.mean
1000001,4620100,519800,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,Gazole,1,1.8138571488005775
1000001,4620100,519800,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,SP95,2,1.930920011997223
1000001,4620100,519800,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,E85,3,1.0298139577688172
1000001,4620100,519800,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,E10,5,1.9007058774723726
1000001,4620100,519800,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,SP98,6,1.957723394353339
1000002,4621842,522767,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,Gazole,1,1.7961111121707491
1000002,4621842,522767,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,SP95,2,1.9219999990680001
1000002,4621842,522767,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,SP98,6,1.9439761922473
1000004,4618800,524500,1000,20 Avenue du Mar̩chal Juin,Bourg-en-Bresse,Gazole,1,1.8650000095367432
1000004,4618800,524500,1000,20 Avenue du Mar̩chal Juin,Bourg-en-Bresse,SP95,2,1.9299999475479126
1000007,4622100,524500,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,Gazole,1,1.7691756647986334
1000007,4622100,524500,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,SP95,2,1.8848493229852963
1000007,4622100,524500,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,E10,5,1.8382857203483582
1000007,4622100,524500,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,SP98,6,1.9136617639485527
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,Gazole,1,1.818205879015081
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,SP95,2,1.9412794043036068
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,E85,3,1.0349622447535676
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,E10,5,1.8860298573081173
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,SP98,6,1.9605000127445569
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,Gazole,1,1.7762000173330308
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,SP95,2,1.8789394010197034
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,E85,3,0.9981428810528347
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,E10,5,1.840973697210613
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,SP98,6,1.91697142464774
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,Gazole,1,1.8948602125208864
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,E85,3,1.0041613059659158
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,E10,5,1.9591720463127218
