ID,Latitude,Longitude,CodePostal,Adresse,Ville,PrixNom,PrixID,PrixValeur.mean
28210002,4864600,152400,28210,LE SALUT NOTRE DAME,NOGENT-LE-ROI,E10,5,1463.2142857142858
28210002,4864600,152400,28210,LE SALUT NOTRE DAME,NOGENT-LE-ROI,SP98,6,1528.4444444444443
28210003,4865000,153800,28210,19 Rue de Verdun,Lormaye,Gazole,1,1515.2941176470588
28210003,4865000,153800,28210,19 Rue de Verdun,Lormaye,E10,5,1540.9655172413793
28210003,4865000,153800,28210,19 Rue de Verdun,Lormaye,SP98,6,1652.0677966101696
28220002,4799200,123200,28220,route de romilly,Cloyes-sur-le-Loir,Gazole,1,1414
28220002,4799200,123200,28220,route de romilly,Cloyes-sur-le-Loir,SP95,2,1490.127659574468
28220002,4799200,123200,28220,route de romilly,Cloyes-sur-le-Loir,SP98,6,1516.3265306122448
28240001,4847000,101200,28240,64 RUE DE L'EGLISE,LA LOUPE,Gazole,1,1412.5376344086021
28240001,4847000,101200,28240,64 RUE DE L'EGLISE,LA LOUPE,SP95,2,1497.3793103448277
28240001,4847000,101200,28240,64 RUE DE L'EGLISE,LA LOUPE,E10,5,1450.5555555555557
28240001,4847000,101200,28240,64 RUE DE L'EGLISE,LA LOUPE,SP98,6,1524.3
28240002,4846619,100888,28240,AV DU PERCHE,La Loupe,,,
28240005,4847500,102600,28240,1 Impasse de la Cerisaie,La Loupe,Gazole,1,1403.3846153846155
28240005,4847500,102600,28240,1 Impasse de la Cerisaie,La Loupe,E10,5,1446.8507462686566
28240005,4847500,102600,28240,1 Impasse de la Cerisaie,La Loupe,SP98,6,1510.844155844156
28250001,4856986,102380,28250,54 route de la FertÃ© Vidame,Senonches,Gazole,1,1410.1914893617022
28250001,4856986,102380,28250,54 route de la FertÃ© Vidame,Senonches,E10,5,1455.7157894736843
28250001,4856986,102380,28250,54 route de la FertÃ© Vidame,Senonches,SP98,6,1518.6421052631579
28260002,4885987.1629,144818.033753,28260,ROUTE D'OULINS,ANET,,,
28260003,4885967,142303,28260,Route d'Anet,Saussay,Gazole,1,1416.360655737705
28260003,4885967,142303,28260,Route d'Anet,Saussay,SP95,2,1504.4214876033059
28260003,4885967,142303,28260,Route d'Anet,Saussay,SP98,6,1540.2764227642276
28260004,4886374.69303,145775.660915,28260,ROUTE D'OULINS,ANET,,,
28260005,4885400,144300,28260,zac du debucher,ANET,Gazole,1,1402.9545454545455
28260005,4885400,144300,28260,zac du debucher,ANET,SP95,2,1487.659574468085
28260005,4885400,144300,28260,zac du debucher,ANET,E10,5,1449.5913978494623
28260005,4885400,144300,28260,zac du debucher,ANET,SP98,6,1525.68
28270002,4869002.15643,107867.353187,28270,56 Rue de Paris,BREZOLLES,Gazole,1,1432.3333333333333
28270002,4869002.15643,107867.353187,28270,56 Rue de Paris,BREZOLLES,SP95,2,1526.0588235294117
28270002,4869002.15643,107867.353187,28270,56 Rue de Paris,BREZOLLES,SP98,6,1556.0588235294117
28290001,4810500,111900,28290,ROUTE DE BROU,ARROU,Gazole,1,1443.6666666666667
28290001,4810500,111900,28290,ROUTE DE BROU,ARROU,SP95,2,1527.3076923076924
28290001,4810500,111900,28290,ROUTE DE BROU,ARROU,SP98,6,1557.4615384615386
28300001,4846680.71998,157917.52237,28300,A 11 - AIRE DE CHARTRES BOIS PAR,GASVILLE,,,
28300003,4846775.533,158094.709,28300,AUTOROUTE A 11,Gasville-OisÃ¨me,,,
28300004,4845400,146500,28300,Rue Gambetta,MAINVILLIERS,Gazole,1,1412.1214953271028
28300004,4845400,146500,28300,Rue Gambetta,MAINVILLIERS,SP95,2,1495.9716981132076
28300004,4845400,146500,28300,Rue Gambetta,MAINVILLIERS,E10,5,1457.1603773584907
28300004,4845400,146500,28300,Rue Gambetta,MAINVILLIERS,SP98,6,1522.801886792453
28300005,4847300,150800,28300,Rue du Bois Musquet,CHAMPHOL,Gazole,1,1411.5131578947369
28300005,4847300,150800,28300,Rue du Bois Musquet,CHAMPHOL,E10,5,1459.5466666666666
28300005,4847300,150800,28300,Rue du Bois Musquet,CHAMPHOL,SP98,6,1519.4605263157894
28300006,4844538.00172,139678.833429,28300,RD 923 rte du MANS,AMILLY,,,
28300008,4843692.6238406,142376.84459686,28300,RD 923 - ROUTE DU MANS,AMILLY,Gazole,1,1404.578947368421
28300008,4843692.6238406,142376.84459686,28300,RD 923 - ROUTE DU MANS,AMILLY,E10,5,1445.493036211699
28300008,4843692.6238406,142376.84459686,28300,RD 923 - ROUTE DU MANS,AMILLY,SP98,6,1539.9888579387186
28300009,4846701.727,157943.463,28300,Aire de Bois-Paris A11 Sens Province/Paris,Gasville-OisÃ¨me,Gazole,1,1590.3082191780823
28300009,4846701.727,157943.463,28300,Aire de Bois-Paris A11 Sens Province/Paris,Gasville-OisÃ¨me,E10,5,1642.132911392405
28300009,4846701.727,157943.463,28300,Aire de Bois-Paris A11 Sens Province/Paris,Gasville-OisÃ¨me,SP98,6,1749.2641509433963
28300010,4846800,157900,28300,AIRE DE CHARTRES GASVILLE A11,Gasville-OisÃ¨me,Gazole,1,1600.04
28300010,4846800,157900,28300,AIRE DE CHARTRES GASVILLE A11,Gasville-OisÃ¨me,E10,5,1646.9219858156027
28300010,4846800,157900,28300,AIRE DE CHARTRES GASVILLE A11,Gasville-OisÃ¨me,SP98,6,1752.8
28310001,4827749.51182,185724.94462,28310,A 10 - AIRE DE FRANCHEVILLE,FRESNAY-L'EVEQUE,,,
28310004,4827200,185800,28310,AUT A 10 - AIRE DE VAL NEUVY,FRESNAY-L'Ã‰VÃªQUE,Gazole,1,1603.67
28310004,4827200,185800,28310,AUT A 10 - AIRE DE VAL NEUVY,FRESNAY-L'Ã‰VÃªQUE,E10,5,1655.2231404958677
28310004,4827200,185800,28310,AUT A 10 - AIRE DE VAL NEUVY,FRESNAY-L'Ã‰VÃªQUE,SP98,6,1761.9579831932774
28310006,4819700,189200,28310,14 Avenue du GÃ©nÃ©ral de Gaulle,Janville,Gazole,1,1421.1704545454545
28310006,4819700,189200,28310,14 Avenue du GÃ©nÃ©ral de Gaulle,Janville,E10,5,1470.1477272727273
28310006,4819700,189200,28310,14 Avenue du GÃ©nÃ©ral de Gaulle,Janville,SP98,6,1535.0454545454545
28310010,4827500,185600,28310,A10 AIRE DES PLAINES DE BEAUCE,Fresnay-l'Ã‰vÃªque,Gazole,1,1612.3628318584072
28310010,4827500,185600,28310,A10 AIRE DES PLAINES DE BEAUCE,Fresnay-l'Ã‰vÃªque,SP95,2,1678.5
28310010,4827500,185600,28310,A10 AIRE DES PLAINES DE BEAUCE,Fresnay-l'Ã‰vÃªque,E10,5,1660.1681415929204
28310010,4827500,185600,28310,A10 AIRE DES PLAINES DE BEAUCE,Fresnay-l'Ã‰vÃªque,SP98,6,1766.5967741935483
28320002,4853229.5396,168398.622791,28320,ROUTE D'EPERNON,GALLARDON,Gazole,1,1424.1351351351352
28320002,4853229.5396,168398.622791,28320,ROUTE D'EPERNON,GALLARDON,SP95,2,1509.2702702702702
28320002,4853229.5396,168398.622791,28320,ROUTE D'EPERNON,GALLARDON,SP98,6,1545.3157894736842
28330002,4814400,97200,28330,CHEMIN DEPARTEMENTAL 9,LA BAZOCHE-GOUET,Gazole,1,1416.6341463414635
28330002,4814400,97200,28330,CHEMIN DEPARTEMENTAL 9,LA BAZOCHE-GOUET,E10,5,1471.1315789473683
28330002,4814400,97200,28330,CHEMIN DEPARTEMENTAL 9,LA BAZOCHE-GOUET,SP98,6,1537.6764705882354
28330003,4819437,89874.999999999,28330,16 Avenue Jean Moulin,Authon-du-Perche,Gazole,1,1458.5555555555557
28330003,4819437,89874.999999999,28330,16 Avenue Jean Moulin,Authon-du-Perche,SP95,2,1560.7272727272727
28330003,4819437,89874.999999999,28330,16 Avenue Jean Moulin,Authon-du-Perche,SP98,6,1584
28350001,4876700,119600,28350,Rue de la Baronnie,SAINT-LUBIN-DES-JONCHERETS,Gazole,1,1386.76
28350001,4876700,119600,28350,Rue de la Baronnie,SAINT-LUBIN-DES-JONCHERETS,E10,5,1426.9791666666667
28350001,4876700,119600,28350,Rue de la Baronnie,SAINT-LUBIN-DES-JONCHERETS,SP98,6,1502.9239130434783
28400002,4833137.3870862,83314.261469597,28400,route de Chartres,Nogent-le-Rotrou,Gazole,1,1404.8139534883721
28400002,4833137.3870862,83314.261469597,28400,route de Chartres,Nogent-le-Rotrou,SP95,2,1488.9752066115702
28400002,4833137.3870862,83314.261469597,28400,route de Chartres,Nogent-le-Rotrou,GPLc,4,796.5535714285714
28400002,4833137.3870862,83314.261469597,28400,route de Chartres,Nogent-le-Rotrou,E10,5,1447.1013513513512
28400002,4833137.3870862,83314.261469597,28400,route de Chartres,Nogent-le-Rotrou,SP98,6,1520.672
28400004,4833133.6999283,80520.164752954,28400,"Rue de la BruyÃ¨re, centre commercial du Percue",Nogent-le-Rotrou,Gazole,1,1409.794642857143
28400004,4833133.6999283,80520.164752954,28400,"Rue de la BruyÃ¨re, centre commercial du Percue",Nogent-le-Rotrou,SP95,2,1500.5384615384614
28400004,4833133.6999283,80520.164752954,28400,"Rue de la BruyÃ¨re, centre commercial du Percue",Nogent-le-Rotrou,GPLc,4,827
28400004,4833133.6999283,80520.164752954,28400,"Rue de la BruyÃ¨re, centre commercial du Percue",Nogent-le-Rotrou,E10,5,1463.5
