ID,Latitude,Longitude,CodePostal,Adresse,Ville,PrixNom,PrixID,PrixValeur.mean
1000001,4620100,519800,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,Gazole,1,1.6589545553380793
1000001,4620100,519800,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,SP95,2,1.8669473622974597
1000001,4620100,519800,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,E85,3,1.0452500134706497
1000001,4620100,519800,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,E10,5,1.812173895213915
1000001,4620100,519800,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,SP98,6,1.8841666711701288
1000002,4621842,522767,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,Gazole,1,1.6916666560702853
1000002,4621842,522767,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,SP95,2,1.8939729735657975
1000002,4621842,522767,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,SP98,6,1.9178285905293055
1000004,4618800,524500,1000,20 Avenue du Mar̩chal Juin,Bourg-en-Bresse,Gazole,1,1.7918181744488804
1000004,4618800,524500,1000,20 Avenue du Mar̩chal Juin,Bourg-en-Bresse,SP95,2,1.9345454411073164
1000007,4622100,524500,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,Gazole,1,1.6694189181198944
1000007,4622100,524500,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,SP95,2,1.8832465834813574
1000007,4622100,524500,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,E10,5,1.8087500035762787
1000007,4622100,524500,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,SP98,6,1.8988139657087104
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,Gazole,1,1.6833600012461345
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,SP95,2,1.8858026344525187
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,E85,3,1.0564865034979742
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,E10,5,1.8190789505055076
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,SP98,6,1.9072857243674142
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,Gazole,1,1.6688095274425687
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,SP95,2,1.8890000051922269
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,E85,3,1.0552500188350677
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,E10,5,1.8171579084898297
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,SP98,6,1.9046666820844014
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,Gazole,1,1.7766739013402357
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,E85,3,1.1346522310505742
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,E10,5,1.9162065270154371
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,SP98,6,1.994326096513997
1090001,4609600,477500,1090,1 ROUTE DE FRANCHELEINS,MONTCEAUX,Gazole,1,1.7440769030497625
1090001,4609600,477500,1090,1 ROUTE DE FRANCHELEINS,MONTCEAUX,E10,5,1.872384603206928
1090001,4609600,477500,1090,1 ROUTE DE FRANCHELEINS,MONTCEAUX,SP98,6,1.953181808645075
1100001,4628404,566282,1100,ROUTE DE DORTAN,Arbent,Gazole,1,1.6867812722921371
1100001,4628404,566282,1100,ROUTE DE DORTAN,Arbent,SP95,2,1.886303009408893
1100001,4628404,566282,1100,ROUTE DE DORTAN,Arbent,GPLc,4,0.9750869455544845
1100001,4628404,566282,1100,ROUTE DE DORTAN,Arbent,E10,5,1.8265312649309635
1100002,4625000,564400,1100,Rue Brillat-Savarin,OYONNAX,Gazole,1,1.6660454598340122
1100002,4625000,564400,1100,Rue Brillat-Savarin,OYONNAX,SP95,2,1.8709473484440853
1100002,4625000,564400,1100,Rue Brillat-Savarin,OYONNAX,SP98,6,1.906111114554935
1100004,4627200,566000,1100,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,Gazole,1,1.767999998160771
1100004,4627200,566000,1100,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,SP95,2,1.9490769367951613
1100004,4627200,566000,1100,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,SP98,6,1.9942857027053833
1100006,4626200,564800,1100,74 Rue Jules Michelet,Oyonnax,Gazole,1,1.685195134907234
1100006,4626200,564800,1100,74 Rue Jules Michelet,Oyonnax,E85,3,1.0789999961853027
1100006,4626200,564800,1100,74 Rue Jules Michelet,Oyonnax,E10,5,1.8266857317515781
1100007,4625000,564100,1100,174 COURS DE VERDUN,OYONNAX,Gazole,1,1.7656153741773668
1100007,4625000,564100,1100,174 COURS DE VERDUN,OYONNAX,E85,3,1.11899995803833
1100007,4625000,564100,1100,174 COURS DE VERDUN,OYONNAX,GPLc,4,0.9639999866485596
1100007,4625000,564100,1100,174 COURS DE VERDUN,OYONNAX,SP98,6,1.9915054997245034
1100008,4626700,565500,1100,32 COURS DE VERDUN,Oyonnax,Gazole,1,1.6749666810035706
1100008,4626700,565500,1100,32 COURS DE VERDUN,Oyonnax,E85,3,1.0547692500627959
1100008,4626700,565500,1100,32 COURS DE VERDUN,Oyonnax,E10,5,1.8069259458118014
1100008,4626700,565500,1100,32 COURS DE VERDUN,Oyonnax,SP98,6,1.8814400100708009
1110001,4597800,559900,1110,Rue Masonod,HAUTEVILLE-LOMPNES,Gazole,1,1.679839997291565
1110001,4597800,559900,1110,Rue Masonod,HAUTEVILLE-LOMPNES,E10,5,1.8303749958674114
1110001,4597800,559900,1110,Rue Masonod,HAUTEVILLE-LOMPNES,SP98,6,1.8943181904879483
1120004,4585300,505900,1120,Cours de la Portelle,MONTLUEL,Gazole,1,1.66856250166893
1120004,4585300,505900,1120,Cours de la Portelle,MONTLUEL,E85,3,1.057750016450882
1120004,4585300,505900,1120,Cours de la Portelle,MONTLUEL,E10,5,1.8282941299326279
1120004,4585300,505900,1120,Cours de la Portelle,MONTLUEL,SP98,6,1.9081538365437434
1120005,4584700,504800,1120,Route de Thil,LA BOISSE,Gazole,1,1.6909999946753185
1120005,4584700,504800,1120,Route de Thil,LA BOISSE,E85,3,1.069000005722046
1120005,4584700,504800,1120,Route de Thil,LA BOISSE,E10,5,1.826739155727884
1120005,4584700,504800,1120,Route de Thil,LA BOISSE,SP98,6,1.9120625033974648
1120006,4584600,504100,1120,521 ROUTE NATIONALE,La Boisse,Gazole,1,1.7712399888038635
1120006,4584600,504100,1120,521 ROUTE NATIONALE,La Boisse,E10,5,1.9140851091831288
1120006,4584600,504100,1120,521 ROUTE NATIONALE,La Boisse,SP98,6,1.996022728356448
1120007,4584500,507000,1120,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX,Gazole,1,1.8913076840914214
1120007,4584500,507000,1120,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX,E10,5,2.09415386731808
1120007,4584500,507000,1120,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX,SP98,6,2.214153839991643
1120008,4584700,507400,1120,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,Gazole,1,1.8600439488232792
1120008,4584700,507400,1120,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,E85,3,1.2389999628067017
1120008,4584700,507400,1120,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,E10,5,1.9880439580141842
1120008,4584700,507400,1120,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,SP98,6,2.0016923186543223
1130002,4616700,569100,1130,867 ROUTE DE GENEVE,LE POIZAT LALLEYRIAT,Gazole,1,1.7636428475379944
1130002,4616700,569100,1130,867 ROUTE DE GENEVE,LE POIZAT LALLEYRIAT,SP95,2,1.9673333406448363
1130002,4616700,569100,1130,867 ROUTE DE GENEVE,LE POIZAT LALLEYRIAT,SP98,6,2.0108571478298733
1130003,4615800,560400,1130,RTE DE LA CLUSE RN 84,NANTUA,Gazole,1,1.6885824085591914
1130003,4615800,560400,1130,RTE DE LA CLUSE RN 84,NANTUA,E10,5,1.853513141995982
1130003,4615800,560400,1130,RTE DE LA CLUSE RN 84,NANTUA,SP98,6,1.9242527432494112
1140001,4618000,481700,1140,416 AVENUE DE LA LIBERATION,Saint-Didier-sur-Chalaronne,Gazole,1,1.651142852646964
1140001,4618000,481700,1140,416 AVENUE DE LA LIBERATION,Saint-Didier-sur-Chalaronne,E85,3,1.0543333530426025
1140001,4618000,481700,1140,416 AVENUE DE LA LIBERATION,Saint-Didier-sur-Chalaronne,E10,5,1.780600004196167
1150001,4590200,534600,1150,8 RUE DE L'INDUSTRIE,LAGNIEU,Gazole,1,1.6765098080915564
1150001,4590200,534600,1150,8 RUE DE L'INDUSTRIE,LAGNIEU,E10,5,1.8307000017166137
1150001,4590200,534600,1150,8 RUE DE L'INDUSTRIE,LAGNIEU,SP98,6,1.9106000065803528
1150002,4583900,527800,1150,Avenue Charles de Gaulle,SAINT-VULBAS,Gazole,1,1.7822222080495622
1150002,4583900,527800,1150,Avenue Charles de Gaulle,SAINT-VULBAS,E85,3,1.1770000219345094
1150002,4583900,527800,1150,Avenue Charles de Gaulle,SAINT-VULBAS,E10,5,1.9212368444392556
1150002,4583900,527800,1150,Avenue Charles de Gaulle,SAINT-VULBAS,SP98,6,2.000500015417735
1160002,4604020.975,534231.844,1160,Le Pont Rompu - RD 1084,PONT-D'AIN,Gazole,1,1.687083328763644
1160002,4604020.975,534231.844,1160,Le Pont Rompu - RD 1084,PONT-D'AIN,SP95,2,1.8642105366054333
1160002,4604020.975,534231.844,1160,Le Pont Rompu - RD 1084,PONT-D'AIN,E10,5,1.8269999980926515
1160002,4604020.975,534231.844,1160,Le Pont Rompu - RD 1084,PONT-D'AIN,SP98,6,1.8999999985098839
1160003,4607400,537600,1160,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,Gazole,1,1.6506249954303105
1160003,4607400,537600,1160,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,E85,3,1.0490000247955322
1160003,4607400,537600,1160,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,E10,5,1.8066499948501586
1160003,4607400,537600,1160,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,SP98,6,1.8888000130653382
1160005,4605335.06156,533741.036717,1160,RTE DE BOURG RN 75,Pont-d'Ain,Gazole,1,1.6717282650263414
1160005,4605335.06156,533741.036717,1160,RTE DE BOURG RN 75,Pont-d'Ain,E10,5,1.8254787262449874
1160005,4605335.06156,533741.036717,1160,RTE DE BOURG RN 75,Pont-d'Ain,SP98,6,1.9449767373328986
1170001,4629300,607900,1170,RN5,S̩GNY,Gazole,1,1.7083580199583077
1170001,4629300,607900,1170,RN5,S̩GNY,SP95,2,1.8925365980078535
1170001,4629300,607900,1170,RN5,S̩GNY,E85,3,1.0765111009279886
1170001,4629300,607900,1170,RN5,S̩GNY,E10,5,1.8468765461886372
1170001,4629300,607900,1170,RN5,S̩GNY,SP98,6,1.9206543233659532
1170002,4632200,605300,1170,Lieu-Dit les Vertes Campagnes,GEX,Gazole,1,1.6954999963442485
1170002,4632200,605300,1170,Lieu-Dit les Vertes Campagnes,GEX,SP95,2,1.9343750178813934
1170002,4632200,605300,1170,Lieu-Dit les Vertes Campagnes,GEX,SP98,6,1.9450000183922904
1170003,4633755,607534,1170,Route de Divonne les Bains,Gex,Gazole,1,1.680254550413652
1170003,4633755,607534,1170,Route de Divonne les Bains,Gex,E85,3,1.0677500069141388
1170003,4633755,607534,1170,Route de Divonne les Bains,Gex,E10,5,1.8131372531255086
1170003,4633755,607534,1170,Route de Divonne les Bains,Gex,SP98,6,1.879200005531311
1170005,4633522,605800,1170, Avenue des Tilleuls,GEX,Gazole,1,1.7584999998410542
1170005,4633522,605800,1170, Avenue des Tilleuls,GEX,E10,5,1.936166673898697
1170005,4633522,605800,1170, Avenue des Tilleuls,GEX,SP98,6,1.990399992465973
1190001,4644200,497000,1190,PAE Pont de Vaux Est,Saint-B̩nigne,Gazole,1,1.7040000292989943
1190001,4644200,497000,1190,PAE Pont de Vaux Est,Saint-B̩nigne,SP95,2,1.9134444660610623
1190001,4644200,497000,1190,PAE Pont de Vaux Est,Saint-B̩nigne,SP98,6,1.9433333542611864
