ID,Latitude,Longitude,CodePostal,Adresse,Ville,PrixNom,PrixID,PrixValeur.mean
1000001,4620100,519800,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,Gazole,1,1.878222213851081
1000001,4620100,519800,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,SP95,2,1.82933333184984
1000001,4620100,519800,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,SP98,6,1.8474000096321106
1000002,4621842,522767,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,Gazole,1,1.8379705863840439
1000002,4621842,522767,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,SP95,2,1.8788529424106373
1000002,4621842,522767,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,SP98,6,1.9029374942183495
1000004,4618800,524500,1000,20 Avenue du Mar̩chal Juin,Bourg-en-Bresse,Gazole,1,1.924666666984558
1000004,4618800,524500,1000,20 Avenue du Mar̩chal Juin,Bourg-en-Bresse,SP95,2,1.9590909264304421
1000004,4618800,524500,1000,20 Avenue du Mar̩chal Juin,Bourg-en-Bresse,GPLc,4,1.0499999523162842
1000007,4622100,524500,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,Gazole,1,1.8083424731476667
1000007,4622100,524500,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,SP95,2,1.864907892126786
1000007,4622100,524500,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,E10,5,1.8178749963641168
1000007,4622100,524500,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,SP98,6,1.8941506914896509
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,Gazole,1,1.8016119341352093
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,SP95,2,1.888136377840331
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,E85,3,1.1168636246161028
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,E10,5,1.8246417935214825
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,SP98,6,1.9172461601404043
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,Gazole,1,1.8140256466009679
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,SP95,2,1.8296538522610297
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,E85,3,1.1032777561081781
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,E10,5,1.8156857218061175
1000009,4619600,522900,1000,56 Rue du Stand,Bourg-en-Bresse,SP98,6,1.8917500178019206
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,Gazole,1,1.9236105354208695
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,E85,3,1.1593297051859426
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,E10,5,1.929516129596259
