ID,Latitude,Longitude,CodePostal,Adresse,Ville,PrixNom,PrixID,PrixValeur.mean
1000001,4620114,519791,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,Gazole,1,1439.9795918367347
1000001,4620114,519791,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,SP95,2,1531.7083333333333
1000001,4620114,519791,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-L̬S-BOURG,SP98,6,1575.0425531914893
1000002,4621842,522767,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,Gazole,1,1435.375
1000002,4621842,522767,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,SP95,2,1522.6176470588234
1000002,4621842,522767,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,SP98,6,1568.9375
1000004,4618800,524500,1000,20 Avenue du Mar̩chal Juin,Bourg-en-Bresse,Gazole,1,1557.5
1000004,4618800,524500,1000,20 Avenue du Mar̩chal Juin,Bourg-en-Bresse,SP95,2,1620
1000004,4618800,524500,1000,20 Avenue du Mar̩chal Juin,Bourg-en-Bresse,GPLc,4,870
1000007,4620105,524891,1000,360 AVENUE DU CAPITAINE DHONNE,Bourg-en-Bresse,Gazole,1,1418.8214285714287
1000007,4620105,524891,1000,360 AVENUE DU CAPITAINE DHONNE,Bourg-en-Bresse,SP95,2,1513.7333333333333
1000007,4620105,524891,1000,360 AVENUE DU CAPITAINE DHONNE,Bourg-en-Bresse,E10,5,1480.6666666666667
1000007,4620105,524891,1000,360 AVENUE DU CAPITAINE DHONNE,Bourg-en-Bresse,SP98,6,1566.0555555555557
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,Gazole,1,1416.84375
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,SP95,2,1525.774193548387
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,E10,5,1494.3763440860216
1000008,4619900,524100,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,SP98,6,1573.6451612903227
1000009,4619566,522935,1000,56 Rue du Stand,Bourg-en-Bresse,Gazole,1,1414.0434782608695
1000009,4619566,522935,1000,56 Rue du Stand,Bourg-en-Bresse,SP95,2,1524.857142857143
1000009,4619566,522935,1000,56 Rue du Stand,Bourg-en-Bresse,E10,5,1487.24
1000009,4619566,522935,1000,56 Rue du Stand,Bourg-en-Bresse,SP98,6,1568.1304347826087
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,Gazole,1,1523.342105263158
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,E85,3,647.1458333333334
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,E10,5,1552.7894736842106
1000012,4620100,520000,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,SP98,6,1662.7894736842106
1000013,4619851.83794,524350.637881,1000,BOULEVARD CHARLES DE GAULLE,Bourg-en-Bresse,Gazole,1,1431.6555555555556
1000013,4619851.83794,524350.637881,1000,BOULEVARD CHARLES DE GAULLE,Bourg-en-Bresse,E10,5,1499.9888888888888
1000013,4619851.83794,524350.637881,1000,BOULEVARD CHARLES DE GAULLE,Bourg-en-Bresse,SP98,6,1582
1090001,4609600,477500,1090,1 ROUTE DE FRANCHELEINS,MONTCEAUX,Gazole,1,1438.7142857142858
1090001,4609600,477500,1090,1 ROUTE DE FRANCHELEINS,MONTCEAUX,E10,5,1478.6666666666667
1090001,4609600,477500,1090,1 ROUTE DE FRANCHELEINS,MONTCEAUX,SP98,6,1554.875
1100001,4628404,566282,1100,ROUTE DE DORTAN,Arbent,Gazole,1,1434.05
1100001,4628404,566282,1100,ROUTE DE DORTAN,Arbent,SP95,2,1534.5111111111112
1100001,4628404,566282,1100,ROUTE DE DORTAN,Arbent,GPLc,4,806.2592592592592
1100001,4628404,566282,1100,ROUTE DE DORTAN,Arbent,E10,5,1514.2093023255813
1100004,4627200,566000,1100,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,Gazole,1,1530
1100004,4627200,566000,1100,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,SP95,2,1628.7
1100004,4627200,566000,1100,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,SP98,6,1668.090909090909
1100006,4626200,564800,1100,74 Rue Jules Michelet,Oyonnax,Gazole,1,1445.6875
1100006,4626200,564800,1100,74 Rue Jules Michelet,Oyonnax,SP95,2,1521.0555555555557
1100007,4624966,564134,1100,174 COURS DE VERDUN,OYONNAX,Gazole,1,1508.2666666666667
1100007,4624966,564134,1100,174 COURS DE VERDUN,OYONNAX,E85,3,757.2222222222222
1100007,4624966,564134,1100,174 COURS DE VERDUN,OYONNAX,GPLc,4,922.1111111111111
1100007,4624966,564134,1100,174 COURS DE VERDUN,OYONNAX,E10,5,1572.2444444444445
1100007,4624966,564134,1100,174 COURS DE VERDUN,OYONNAX,SP98,6,1682.2444444444445
1110001,4597800,559900,1110,Rue Masonod,HAUTEVILLE-LOMPNES,Gazole,1,1439.225806451613
1110001,4597800,559900,1110,Rue Masonod,HAUTEVILLE-LOMPNES,SP95,2,1536.0714285714287
1110001,4597800,559900,1110,Rue Masonod,HAUTEVILLE-LOMPNES,SP98,6,1569.2
1120004,4585300,505900,1120,Cours de la Portelle,MONTLUEL,Gazole,1,1417.45
1120004,4585300,505900,1120,Cours de la Portelle,MONTLUEL,E85,3,599
1120004,4585300,505900,1120,Cours de la Portelle,MONTLUEL,E10,5,1469.3809523809523
1120004,4585300,505900,1120,Cours de la Portelle,MONTLUEL,SP98,6,1559.8333333333333
1120005,4584700,504800,1120,Route de Thil,LA BOISSE,Gazole,1,1403.44
1120005,4584700,504800,1120,Route de Thil,LA BOISSE,SP95,2,1521.3636363636363
1120005,4584700,504800,1120,Route de Thil,LA BOISSE,E10,5,1470.5652173913043
1120005,4584700,504800,1120,Route de Thil,LA BOISSE,SP98,6,1557.55
1120006,4584641,504093,1120,521 ROUTE NATIONALE,La Boisse,Gazole,1,1544.9
1120006,4584641,504093,1120,521 ROUTE NATIONALE,La Boisse,E10,5,1598.05
1120006,4584641,504093,1120,521 ROUTE NATIONALE,La Boisse,SP98,6,1708.05
1120007,4584500,507000,1120,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX,Gazole,1,1645.4545454545455
1120007,4584500,507000,1120,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX,E10,5,1685.9024390243903
1120007,4584500,507000,1120,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX,SP98,6,1792.5238095238096
1120008,4584715.18044,507404.780227,1120,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,Gazole,1,1597.2222222222222
1120008,4584715.18044,507404.780227,1120,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,E10,5,1655.5555555555557
1120008,4584715.18044,507404.780227,1120,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,SP98,6,1765.611111111111
1130002,4616700,569100,1130,867 ROUTE DE GENEVE,LE POIZAT LALLEYRIAT,Gazole,1,1520.888888888889
1130002,4616700,569100,1130,867 ROUTE DE GENEVE,LE POIZAT LALLEYRIAT,SP95,2,1625.7
1130002,4616700,569100,1130,867 ROUTE DE GENEVE,LE POIZAT LALLEYRIAT,SP98,6,1655.1
1130003,4615800,560400,1130,RTE DE LA CLUSE RN 84,NANTUA,Gazole,1,1446.088888888889
1130003,4615800,560400,1130,RTE DE LA CLUSE RN 84,NANTUA,E10,5,1497.2555555555555
1130003,4615800,560400,1130,RTE DE LA CLUSE RN 84,NANTUA,SP98,6,1572.0222222222221
1140001,4618000,481700,1140,416 AVENUE DE LA LIBERATION,Saint-Didier-sur-Chalaronne,Gazole,1,1453.6153846153845
