ID;Latitude;Longitude;CodePostal;Adresse;Ville;PrixNom;PrixID;PrixValeur,mean;Colonne1
60590001;4928900;180700;60590;RN 181;Trie-Ch̢teau;Gazole;1;1427,423077;1,427423077
60590001;4928900;180700;60590;RN 181;Trie-Ch̢teau;SP95;2;1556,64;1,55664
60590001;4928900;180700;60590;RN 181;Trie-Ch̢teau;E85;3;635,4;0,6354
60590001;4928900;180700;60590;RN 181;Trie-Ch̢teau;E10;5;1512,272727;1,512272727
60590001;4928900;180700;60590;RN 181;Trie-Ch̢teau;SP98;6;1581,272727;1,581272727
60590002;4935600;177000;60590;ZAC LA REMIS DU FRIER;S̩rifontaine;Gazole;1;1455,666667;1,455666667
60590002;4935600;177000;60590;ZAC LA REMIS DU FRIER;S̩rifontaine;SP95;2;1626,142857;1,626142857
60590002;4935600;177000;60590;ZAC LA REMIS DU FRIER;S̩rifontaine;SP98;6;1653,285714;1,653285714
60600001;4936200;242200;60600;Route de Paris;BREUIL-LE-VERT;Gazole;1;1429,25;1,42925
60600001;4936200;242200;60600;Route de Paris;BREUIL-LE-VERT;E10;5;1497,25;1,49725
60600001;4936200;242200;60600;Route de Paris;BREUIL-LE-VERT;SP98;6;1585,583333;1,585583333
60600004;4938260;240177;60600;Rue G̩rard de Nerval;CLERMONT;Gazole;1;1432,882353;1,432882353
60600004;4938260;240177;60600;Rue G̩rard de Nerval;CLERMONT;SP95;2;1555,827586;1,555827586
60600004;4938260;240177;60600;Rue G̩rard de Nerval;CLERMONT;E10;5;1506,40625;1,50640625
60600004;4938260;240177;60600;Rue G̩rard de Nerval;CLERMONT;SP98;6;1582,709677;1,582709677
60600006;4939600;241900;60600;Rue Nelson Mandela;FITZ-JAMES;Gazole;1;1466,5;1,4665
60600006;4939600;241900;60600;Rue Nelson Mandela;FITZ-JAMES;SP95;2;1598,512195;1,598512195
60600006;4939600;241900;60600;Rue Nelson Mandela;FITZ-JAMES;E10;5;1564,483871;1,564483871
60600006;4939600;241900;60600;Rue Nelson Mandela;FITZ-JAMES;SP98;6;1611,272727;1,611272727
60610002;4935800;277700;60610;ZAC DES JARDINS;LA CROIX SAINT OUEN;Gazole;1;1423,8125;1,4238125
60610002;4935800;277700;60610;ZAC DES JARDINS;LA CROIX SAINT OUEN;SP95;2;1560,333333;1,560333333
60610002;4935800;277700;60610;ZAC DES JARDINS;LA CROIX SAINT OUEN;E10;5;1495,666667;1,495666667
60610002;4935800;277700;60610;ZAC DES JARDINS;LA CROIX SAINT OUEN;SP98;6;1597,545455;1,597545455
60640001;4965500;305000;60640;206 Rue Marcel Poulin;GUISCARD;Gazole;1;1503,095238;1,503095238
60640001;4965500;305000;60640;206 Rue Marcel Poulin;GUISCARD;E10;5;1579,238095;1,579238095
60640001;4965500;305000;60640;206 Rue Marcel Poulin;GUISCARD;SP98;6;1689,5;1,6895
60650002;4943798;189020;60650;Route Nationale;Saint-Aubin-en-Bray;Gazole;1;1479;1,479
60650002;4943798;189020;60650;Route Nationale;Saint-Aubin-en-Bray;SP95;2;1614,285714;1,614285714
60650002;4943798;189020;60650;Route Nationale;Saint-Aubin-en-Bray;E10;5;1577,833333;1,577833333
60650002;4943798;189020;60650;Route Nationale;Saint-Aubin-en-Bray;SP98;6;1645,666667;1,645666667
60650004;4942181,085;197844,826;60650;"RD 931 Lieu dit ""Bois du Renard""";Saint-Paul;Gazole;1;1428,75;1,42875
60650004;4942181,085;197844,826;60650;"RD 931 Lieu dit ""Bois du Renard""";Saint-Paul;E10;5;1508,52381;1,50852381
60650004;4942181,085;197844,826;60650;"RD 931 Lieu dit ""Bois du Renard""";Saint-Paul;SP98;6;1576,2;1,5762
60650006;4941700;192400;60650;RN31 - LE VIVIER DANGER;ONS EN BRAY;Gazole;1;1451,428571;1,451428571
60650006;4941700;192400;60650;RN31 - LE VIVIER DANGER;ONS EN BRAY;SP95;2;1579,428571;1,579428571
60650006;4941700;192400;60650;RN31 - LE VIVIER DANGER;ONS EN BRAY;SP98;6;1609,857143;1,609857143
60680003;4940307,5;273914,9351;60680;RN 31 - ROUTE DE CLERMONT;JONQUIERES;Gazole;1;1432,122222;1,432122222
60680003;4940307,5;273914,9351;60680;RN 31 - ROUTE DE CLERMONT;JONQUIERES;E10;5;1504,5;1,5045
60680003;4940307,5;273914,9351;60680;RN 31 - ROUTE DE CLERMONT;JONQUIERES;SP98;6;1604,588889;1,604588889
60690001;4958200;195400;60690;145 DU GENERAL LECLERC;MARSEILLE EN BEAUVAISIS;Gazole;1;1441,258065;1,441258065
60690001;4958200;195400;60690;145 DU GENERAL LECLERC;MARSEILLE EN BEAUVAISIS;SP95;2;1562,724138;1,562724138
60690001;4958200;195400;60690;145 DU GENERAL LECLERC;MARSEILLE EN BEAUVAISIS;E85;3;699;0,699
60690001;4958200;195400;60690;145 DU GENERAL LECLERC;MARSEILLE EN BEAUVAISIS;E10;5;1521;1,521
60690001;4958200;195400;60690;145 DU GENERAL LECLERC;MARSEILLE EN BEAUVAISIS;SP98;6;1589,266667;1,589266667
60700002;4930752;259195;60700;Rue Louis Pasteur;PONT-SAINTE-MAXENCE;Gazole;1;1424,6;1,4246
